time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2023-02-26,1648.88,1588.49,1594.76,229895.87,371839019.93,1641.47,direct,
2023-02-27,1664.42,1609.58,1641.47,365892.0,599201102.41,1633.45,direct,
2023-02-28,1647.24,1598.81,1633.45,280478.52,456485843.68,1604.71,direct,
2023-03-01,1669.0,1597.2,1604.71,351083.83,578179739.94,1665.59,direct,
2023-03-02,1677.38,1619.77,1665.59,336265.69,551927025.83,1647.77,direct,
2023-03-03,1648.9,1548.37,1647.77,455419.93,715836604.91,1569.61,direct,
2023-03-04,1577.08,1550.37,1569.61,112641.62,176475467.06,1566.92,direct,
2023-03-05,1587.46,1556.08,1566.92,176988.97,277871195.33,1564.75,direct,
2023-03-06,1582.34,1555.75,1564.75,246183.73,385747263.69,1565.91,direct,
2023-03-07,1582.88,1536.97,1565.91,344845.82,537679741.24,1561.63,direct,
2023-03-08,1570.15,1527.78,1561.63,343689.43,533803722.68,1532.6,direct,
2023-03-09,1545.34,1409.71,1532.6,573497.49,855796464.32,1437.65,direct,
2023-03-10,1438.2,1372.22,1437.65,833933.25,1175874332.49,1431.49,direct,
2023-03-11,1491.16,1417.78,1431.49,555267.83,809481849.2,1483.07,direct,
2023-03-12,1605.89,1460.07,1483.07,411778.83,628896505.51,1591.33,direct,
2023-03-13,1699.86,1571.05,1591.33,616690.37,1009582703.22,1681.01,direct,
2023-03-14,1783.34,1664.87,1681.01,688753.75,1185297782.17,1705.17,direct,
2023-03-15,1721.91,1615.53,1705.17,567381.86,946357462.39,1656.21,direct,
2023-03-16,1694.39,1638.35,1656.21,338710.86,563006840.25,1677.0,direct,
2023-03-17,1802.23,1666.0,1677.0,554269.89,961818992.47,1793.32,direct,
2023-03-18,1843.84,1753.25,1793.32,439833.57,793051388.14,1763.2,direct,
2023-03-19,1845.85,1762.62,1763.2,336614.23,607264809.62,1785.0,direct,
2023-03-20,1807.87,1729.07,1785.0,452201.95,799494603.33,1738.45,direct,
2023-03-21,1838.29,1724.38,1738.45,424932.74,761061989.02,1807.45,direct,
2023-03-22,1822.96,1717.19,1807.45,464597.07,826127727.45,1738.86,direct,
2023-03-23,1858.54,1733.86,1738.86,417373.61,749857794.99,1817.28,direct,
2023-03-24,1821.91,1728.85,1817.28,390968.48,692388082.29,1751.74,direct,
2023-03-25,1764.13,1715.84,1751.74,204691.08,357271103.53,1743.88,direct,
2023-03-26,1798.66,1741.34,1743.88,220037.43,389448245.46,1775.76,direct,
2023-03-27,1781.72,1688.56,1775.76,314790.83,545397092.89,1716.16,direct,
2023-03-28,1794.86,1703.06,1716.16,311844.14,544294327.38,1773.53,direct,
2023-03-29,1826.03,1773.32,1773.53,336014.87,605332954.59,1793.51,direct,
2023-03-30,1828.46,1764.84,1793.51,360783.42,646886411.85,1794.03,direct,
2023-03-31,1846.28,1781.63,1794.03,347679.36,631389802.21,1822.21,direct,
2023-04-01,1841.83,1811.11,1822.21,165134.71,301100633.35,1821.54,direct,
